spatial_info_id,installation_location,road_name,longitude,latitude,district_code,district_name,parking_violation_note,weekday_start_time_am,weekday_start_time_pm,weekday_end_time_am,weekday_end_time_pm,saturday_start_time_am,saturday_start_time_pm,saturday_end_time_am,saturday_end_time_pm,holiday_start_time_am,holiday_start_time_pm,holiday_end_time_am,holiday_end_time_pm
566,태전동 대원빌딩,태전로,128.5447267,35.92308012,5,북구,구간 (은마아파트 ↔ 태전중앙시장)  설치일자 - 2018-12-14,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
567,대현도서관교차로,대현남로5길,128.6073686,35.88139784,5,북구,구간 (회전교차로 주변)  설치일자 - 2019-04-24,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
568,학정동 칠곡경북대학교병원,호국로,128.5648061,35.95480248,5,북구,구간 (경대병원 정문 ↔ 학정로 561)  설치일자 - 2019-05-23,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
569,구암동 남다른감자탕,동암로,128.5647977,35.94388525,5,북구,구간 (동암로 128 ↔ 동암로 130)  설치일자 - 2019-05-23,7:00,-,20:00,-,10:00,-,17:00,-,-,-,-,-
570,동천동 CGV 대구칠곡점,동암로,128.5598144,35.94455502,5,북구,구간 (동암로 76 ↔ 동암로 90)  설치일자 - 2019-05-23,7:00,-,20:00,-,12:00,-,17:00,-,-,-,-,-
571,매천고령축산백화점,매전로,128.5437505,35.90862554,5,북구,구간 (매전로 2 ↔ 매전로4길 20)  설치일자 - 2019-05-23,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
572,운암지,구암로,128.5658516,35.93173251,5,북구,구간 (구암로 217 ↔ 구암로 238)  설치일자 - 2019-05-23,7:00,-,19:00,-,10:00,-,17:00,-,-,-,-,-
573,서변동 성북초등학교,호국로57길,128.5948893,35.92572149,5,북구,구간 (성북초등학교 ↔ 서변중학교)  설치일자 - 2019-05-23,8:00,-,17:00,-,-,-,-,-,-,-,-,-
574,학정역 효성해링턴플레이스,칠곡중앙대로,128.5531227,35.95356523,5,북구,구간 (대교국밥 ↔ 효성해링턴정문)  설치일자 - 2019-11-01,7:00,-,19:00,-,10:00,-,17:00,-,10:00,-,17:00,-
575,사수동 부광빌딩 건너,내곡로,128.5131759,35.90160184,5,북구,구간 (OK마트 ↔ 서희스타힐스테이105동)  설치일자 - 2019-11-01,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
576,서변동 서변초등학교,호국로43길,128.5955722,35.92110257,5,북구,구간 (서변초등 담벼락 ↔ 중앙시장입구)  설치일자 - 2019-11-01,8:00,-,17:00,-,-,-,-,-,-,-,-,-
577,동화아이위시 정문,동화천로42길,128.6154102,35.94108803,5,북구,구간 (101동 ↔ 1068동)  설치일자 - 2020-02-24,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
578,오페라 클래시아 정문,칠성남로,128.5945839,35.87897892,5,북구,구간 (오페리 클래시아 ↔ 태영생막창)  설치일자 - 2020-06-12,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
579,학남초등학교 앞 사거리,구리로,128.5671762,35.94652727,5,북구,구간 (1차한라하우젠트 ↔ 2차한라하우젠트)  설치일자 - 2020-06-30,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
580,NC아울렛 앞 사거리,유통단지로8길,128.6117592,35.90510866,5,북구,구간 (NC아울렛 ↔ 엑스코 남편)  설치일자 - 2020-06-30,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
581,오페라트루엘시민의숲,고성북로,128.5831567,35.88243753,5,북구,구간 (고성북로 43 ↔ 고성로 155)  설치일자 - 2020-06-30,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
582,노원동행정복지센터 사거리,오봉로,128.576651,35.89030926,5,북구,구간 (오봉로 12 ↔ 오봉로 48-1)  설치일자 - 2020-06-30,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
583,동평초등 사거리,대천로,128.5597396,35.93687921,5,북구,구간 (동천네거리 ↔ 동천교네거리 )  설치일자 - 2020-06-30,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
584,학정로 50 앞 사거리,학정로,128.548381,35.91350234,5,북구,구간 (학정로 38 ↔ 학정로 62)  설치일자 - 2020-09-09,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
585,대구일중학교 정문,옥산로17길,128.5861976,35.88811474,5,북구,구간 (태왕아너스로뎀 ↔ 달산초등학교 대구일중학교 ↔ 침산푸르지오1차)  설치일자 - 2020-07-06,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
586,엑스코 동편 삼거리,유통단지로8길,128.6146121,35.90666969,5,북구,구간 (엑스코 동편  남편)  설치일자 - 2020-07-06,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
587,삼덕꽃센터 앞 삼거리,칠성남로,128.5974776,35.87720231,5,북구,구간 (칠성남로 146 ↔ 칠성남로36길 2)  설치일자 - 2020-07-06,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
588,유림노르웨이숲 남편 도로,칠성남로16길,128.5923002,35.87703043,5,북구,구간 (북부소방서 ↔ 역후공원 유림노르웨이숲 남편)  설치일자 - 2020-11-11,7:00,-,20:00,-,10:00,-,17:00,-,10:00,-,17:00,-
11,서문시장육교,달성로,128.5821972,35.86915897,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
12,통신골목 시계탑,동성로1길,128.5947935,35.86658082,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
13,태평로,태평로,128.5990754,35.87414567,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
14,통신골목입구,동성로1길,128.5971556,35.86539269,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
15,큰장네거리,국채보상로,128.5795294,35.87036053,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
16,동성5길(구.금융결제원),동성로5길,128.5967858,35.86757656,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
17,2.28공원 옆,동성로2길,128.5971366,35.86970071,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
18,동성6길(공평주차장 건너편),동성로6길,128.5953757,35.8679239,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
19,삼덕소방서,공평로,128.5998214,35.86703071,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
110,남성로 정관장 앞,남성로,128.5921511,35.8672312,1,중구,연중무휴,9:00,-,22:00,-,9:00,-,22:00,-,9:00,-,22:00,-
