위반장소명,count
검사동 해동로 232,3
경대로,1
경북수협 ,25
경북일보 ,5
경안로,15
경안로 810,1
경안로 820,1
경안로 822,12
경안로 824,1
공산초등학교,54
대구광역시 신암동 593-15,705
공항로,33
공항로45길,15
공항로47길,115
공항로49길,2
공항로50길,1
공항로52길,1
공항로54길,9
과학로,1
괴전동 108-2 ,2
괴전동 108-3 ,3
괴전동 109-2 ,1
괴전동 110 ,2
괴전동 111-1 ,4
괴전동 112-2 ,2
괴전동 117-3 ,1
괴전동 117-31 ,4
괴전동 117-32 ,1
괴전동 119-3 ,6
괴전동 123-4 ,2
괴전동 133-4 ,1
괴전동 133-5 ,23
괴전동 144-3 ,1
괴전동 146 ,9
괴전동 149 ,1
괴전동 151-1,1
괴전동 151-3 ,2
괴전동 160-2 ,2
괴전동 160-7 ,1
괴전동 161-2 ,2
괴전동 167-2 ,1
괴전동 169 ,2
괴전동 177-31,2
괴전동 189-3 ,1
괴전동 196-3 ,1
괴전동 197 ,2
괴전동 200-5 ,7
괴전동 210-14 ,1
괴전동 217-7 ,2
괴전동 294-25 ,1
괴전동 482-6 ,1
괴전동 483-10 ,1
괴전동 485-1 ,1
괴전동 490-14 ,1
괴전동 525-13 ,1
괴전동 536-69 ,3
괴전동 536-75 ,3
괴전동 536-92 ,1
괴전동 545-20 ,1
괴전동 545-44 ,1
괴전동 545-47 ,7
괴전동 546-1 ,2
괴전동 546-2 ,1
괴전동 552-11 ,1
괴전동 654 ,1
괴전동 657 ,2
괴전동 안심로 455,1
구 중앙고속,1877
국채보상로,1
국채보상로171길,33
금강동 403-2,1
금강동 406-2 ,1
금강동 413-2,1
금강동 413-2 ,5
금강동 56,1
금강로,243
금강로 403-2,1
금강로21길,1
금호강변로,15
금호강변로3길,96
금호강자전거2길,9
금호강자전거길,1
노비아갈라웨딩,929
노비아갈라웨딩,443
능성동 299-1,1
대구공항,250
대구공항,113
대구공항,203
대구공항,246
대구은행 강촌지점,333
대구은행 강촌지점 ,67
대구은행 동구청지점 ,166
대구은행동구청지점,144
대구은행신천4 ,276
대구은행신천4동 ,544
대림동 884 ,1
대림동 886-2 ,1
대림동 886-7 ,2
